Device: HNL274 Date: 2020-02-14
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
UniLDM  ;$10;$50;$A1;float;AUrS;NV;-100;273;Tsense1max;%fC;Tpp max;70
UniLDM  ;$10;$52;$A1;float;AUrS;NV;-100;273;Tcursensemax;%fC;Tcursense max;70
UniLDM  ;$10;$48;$A1;float;AUrS;NV;-100;273;Trtd1min;%fC;Trtd1 min;15
UniLDM  ;$10;$49;$A1;float;AUrS;NV;-100;273;Trtd1max;%fC;Trtd1 max;35
UniLDM  ;$10;$4B;$A1;float;AUrS;NV;-100;273;Trtd2min;%fC;Trtd2 min;15
UniLDM  ;$10;$4C;$A1;float;AUrS;NV;-100;273;Trtd2max;%fC;Trtd2 max;35
UniLDM  ;$10;$4E;$A1;float;AUrS;NV;-100;273;Trtd3max;%fC;Trtd3 max;40
UniLDM  ;$10;$74;$A1;u8;AUrS;NV;0;120;TecStTout;%us;TEC stabilization time limit;60
UniLDM  ;$10;$FF;$10;;;;;;;;LD Controller setup;
UniLDM  ;$10;$1C;$11;float;AUS;NV;1;1000;IUsetLim;%fA;Iset limit;100
UniLDM  ;$10;$3B;$11;float;AS;NV;-3.40282346638529E38;3.40282346638529E38;CIUMul;%g;Ild calibration multiplier;0.00534999370574951
UniLDM  ;$10;$3C;$11;float;AS;NV;-3.40282346638529E38;3.40282346638529E38;CIUAdd;%g;Ild calibration addend;0
UniLDM  ;$10;$87;$11;u8;AUS;NV;0;1;Anctrl;[OFF,ON];Analog control;OFF
UniLDM  ;$10;$33;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoB0;%.7f;LD 3P3Z B0;2.7703819
UniLDM  ;$10;$34;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoB1;%.7f;LD 3P3Z B1;-1.9395967
UniLDM  ;$10;$35;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoB2;%.7f;LD 3P3Z B2;0.4210108
UniLDM  ;$10;$36;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoB3;%.7f;LD 3P3Z B3;-1.0288323
UniLDM  ;$10;$37;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoA1;%.7f;LD 3P3Z A1;0.1761576
UniLDM  ;$10;$38;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoA2;%.7f;LD 3P3Z A2;0.6652246
UniLDM  ;$10;$39;$11;float;A;NV;-3.40282346638529E38;3.40282346638529E38;LDCoA3;%.7f;LD 3P3Z A3;0.1586178
UniLDM  ;$10;$53;$11;u8;AUrS;;0;1;LDManual;[OFF,ON];LD Manual;OFF
UniLDM  ;$10;$20;$11;u16;AUS;;0;10000;HpwrPwm;%.2f%;LD PWM;0.00
UniLDM  ;$10;$21;$11;u16;AUS;NV;0;10000;HpwrPwmMax;%.2f%;LD PWM limit;95.00
UniLDM  ;$10;$22;$11;u16;A;NV;0;10000;HpwrPwmDT1;%.1fns;LD PWM DT1;30.0
UniLDM  ;$10;$23;$11;u16;A;NV;0;10000;HpwrPwmDT2;%.1fns;LD PWM DT2;30.0
UniLDM  ;$10;$5B;$11;u8;AUrS;NV;0;120;StartDelay;%us;Turn ON delay;5
UniLDM  ;$10;$FF;$40;;;;;;;;TEC1 Controller setup;
UniLDM  ;$10;$5D;$41;u8;ArUrSr;;0;1;TEC1Stable;[Not Stable,Stable];TEC1 T is stable;Not Stable
UniLDM  ;$10;$5E;$41;u16;AUrS;NV;0;10000;TEC1Tmax;%.2fC;TEC1 Tmax;35.00
UniLDM  ;$10;$5F;$41;u16;AUrS;NV;0;10000;TEC1Tmin;%.2fC;TEC1 Tmin;15.00
UniLDM  ;$10;$60;$41;float;AUrS;NV;0;3.40282346638529E38;TEC1Kp;%.6f;TEC1 Kp;90.000000
UniLDM  ;$10;$61;$41;float;AUrS;NV;0;3.40282346638529E38;TEC1Ki;%.6f;TEC1 Ki;0.080000
UniLDM  ;$10;$62;$41;float;AUrS;NV;0;3.40282346638529E38;TEC1Kd;%.6f;TEC1 Kd;0.000000
UniLDM  ;$10;$63;$41;u8;AUrS;;0;1;TEC1Manual;[OFF,ON];TEC1 Manual;OFF
UniLDM  ;$10;$24;$41;s16;AUS;;-10000;10000;Tec1Pwm;%.2f%;TEC1 PWM;-60.00
UniLDM  ;$10;$64;$41;s16;AUrS;NV;-10000;10000;TEC1PWMMax;%.2f%;TEC1 PWM Max;60.00
UniLDM  ;$10;$65;$41;s16;AUrS;NV;-10000;10000;TEC1PWMMin;%.2f%;TEC1 PWM Min;-60.00
UniLDM  ;$10;$66;$41;u16;AUrS;NV;0;10000;TEC1Wnd;%.2fC;TEC1 stability window;1.00
UniLDM  ;$10;$67;$41;u8;AUrS;NV;0;120;TEC1Wndt;%us;TEC1 stability window time;10
UniLDM  ;$10;$FF;$60;;;;;;;;TEC2 Controller setup;
UniLDM  ;$10;$69;$61;u8;ArUrSr;;0;1;TEC2Stable;[Not Stable,Stable];TEC2 T is stable;Not Stable
UniLDM  ;$10;$6A;$61;u16;AUrS;NV;0;10000;TEC2Tmax;%.2fC;TEC2 Tmax;35.00
UniLDM  ;$10;$6B;$61;u16;AUrS;NV;0;10000;TEC2Tmin;%.2fC;TEC2 Tmin;15.00
UniLDM  ;$10;$6C;$41;float;AUrS;NV;0;3.40282346638529E38;TEC2Kp;%.6f;TEC2 Kp;90.000000
UniLDM  ;$10;$6D;$41;float;AUrS;NV;0;3.40282346638529E38;TEC2Ki;%.6f;TEC2 Ki;0.080000
UniLDM  ;$10;$6E;$41;float;AUrS;NV;0;3.40282346638529E38;TEC2Kd;%.6f;TEC2 Kd;0.000000
UniLDM  ;$10;$6F;$61;u8;AUrS;;0;1;TEC2Manual;[OFF,ON];TEC2 Manual;OFF
UniLDM  ;$10;$27;$61;s16;AUS;;-10000;10000;Tec2Pwm;%.2f%;TEC2 PWM;-60.00
UniLDM  ;$10;$70;$61;s16;AUrS;NV;-10000;10000;TEC2PWMMax;%.2f%;TEC2 PWM Max;60.00
UniLDM  ;$10;$71;$61;s16;AUrS;NV;-10000;10000;TEC2PWMMin;%.2f%;TEC2 PWM Min;-60.00
UniLDM  ;$10;$72;$61;u16;AUrS;NV;0;10000;TEC2Wnd;%.2fC;TEC2 stability window;1.00
UniLDM  ;$10;$73;$61;u8;AUrS;NV;0;120;TEC2Wndt;%us;TEC2 stability window time;10
UniLDM  ;$10;$FF;$C0;;;;;;;;TEC common settings;
UniLDM  ;$10;$2A;$C1;u16;AUS;NV;0;10000;HRPwm;%.2f%;TEC common point PWM;59.50
UniLDM  ;$10;$28;$C1;u16;AUS;NV;0;10000;TecMidPwmMax;%.2f%;TEC common point PWM max;95.00
UniLDM  ;$10;$29;$C1;u8;AUS;NV;0;1;TecMidPwmAuto;[OFF,ON];TEC common point auto;ON
UniLDM  ;$10;$25;$C1;u16;A;NV;0;10000;TecPwmDT1;%.1fns;TEC PWM DT1;30.0
UniLDM  ;$10;$26;$C1;u16;A;NV;0;10000;TecPwmDT2;%.1fns;TEC PWM DT2;30.0
UniLDM  ;$10;$FF;$70;;;;;;;;FAN1 Controller setup;
UniLDM  ;$10;$1E;$71;float;AUrS;NV;20;150;Fan1Tset;%.2f;Tpp set;35.00
UniLDM  ;$10;$2C;$71;float;AUrS;NV;0;3.40282346638529E38;Fan1Kp;%.6f;FAN1 PID Kp;10.000000
UniLDM  ;$10;$2D;$71;float;AUrS;NV;0;3.40282346638529E38;Fan1Ki;%.6f;FAN1 PID Ki;0.010000
UniLDM  ;$10;$2E;$71;float;AUrS;NV;0;3.40282346638529E38;Fan1Kd;%.6f;FAN1 PID Kd;300.000000
UniLDM  ;$10;$54;$71;u8;AUrS;;0;1;FAN1Manual;[OFF,ON];FAN1 Manual;OFF
UniLDM  ;$10;$2B;$71;u16;AUrS;;0;10000;Fan1Pwm;%.2f%;FAN1 PWM;55.00
UniLDM  ;$10;$55;$71;u16;AUrS;NV;0;10000;Fan1PwmMin;%.2f%;FAN1 min. PWM;55.00
UniLDM  ;$10;$FF;$80;;;;;;;;FAN2 Controller setup;
UniLDM  ;$10;$1F;$81;float;AUrS;NV;20;150;Fan2Tset;%.2f;Thot set;35.00
UniLDM  ;$10;$30;$71;float;AUrS;NV;0;3.40282346638529E38;Fan2Kp;%.6f;FAN2 PID Kp;10.000000
UniLDM  ;$10;$31;$71;float;AUrS;NV;0;3.40282346638529E38;Fan2Ki;%.6f;FAN2 PID Ki;0.010000
UniLDM  ;$10;$32;$71;float;AUrS;NV;0;3.40282346638529E38;Fan2Kd;%.6f;FAN2 PID Kd;300.000000
UniLDM  ;$10;$56;$81;u8;AUrS;NV;0;1;FAN2Manual;[OFF,ON];FAN2 Manual;OFF
UniLDM  ;$10;$2F;$81;u16;AUS;;0;10000;Fan2Pwm;%.2f%;FAN2 PWM;50.00
UniLDM  ;$10;$57;$81;u16;AUrS;NV;0;10000;Fan2PwmMin;%.2f%;FAN2 min. PWM;50.00
UniLDM  ;$10;$FF;$30;;;;;;;;Sensors;
UniLDM  ;$10;$89;$31;u8;AS;NV;0;7;RTDCfg;[Pt-Pt-Pt,Pt-Pt-NTC,Pt-NTC-Pt,Pt-NTC-NTC,NTC-Pt-Pt,NTC-Pt-NTC,NTC-NTC-Pt,NTC-NTC-NTC];RTD 1-2-3 sensor type;Pt-Pt-NTC
UniLDM  ;$10;$3E;$31;s16;ArUrSr;;0;4095;Vps;%.2fV;Negative supply, Vps;11.71
UniLDM  ;$10;$43;$31;u16;ArUrSr;;0;4095;Vout4;%.2fV;Vout4;0.00
UniLDM  ;$10;$44;$31;u16;ArUrSr;;0;4095;Vinout5;%.2fV;Vinout5;0.00
UniLDM  ;$10;$3F;$31;u16;ArUrSr;;0;4095;Vhpwr5;%.2fV;Vhpwr5;0.27
UniLDM  ;$10;$46;$31;float;ArUrSr;;0;5.73831721141013E-42;Iprog;%.6f;Iprog;0.000000
UniLDM  ;$10;$FF;$20;;;;;;;;ADC;
UniLDM  ;$10;$8A;$21;u16;ArSr;;0;65535;ADCINB23;%d;ADCINB23;15
UniLDM  ;$10;$8B;$21;u16;ArSr;;0;65535;ADCINB45;%d;ADCINB45;44
UniLDM  ;$10;$8C;$21;u16;ArSr;;0;4095;ADCINA0;%u;ADCINA0;0
UniLDM  ;$10;$FF;$90;;;;;;;;SFRA test;
UniLDM  ;$10;$13;$91;u16;A;;0;1;SFRAstart;[-,START];SFRA start command;-
UniLDM  ;$10;$14;$91;u16;Ar;;0;1;SFRAstatus;%u;SFRA status;0
UniLDM  ;$10;$11;$91;float;A;;10;100000;SFRAMinF;%gHz;SFRA start frequency;100
UniLDM  ;$10;$12;$91;float;A;;10;300000;SFRAMaxF;%gHz;SFRA stop frequency;250000
UniLDM  ;$10;$15;$91;u16;A;;0;99;SFRAidx;%u;SFRA data index;0
UniLDM  ;$10;$16;$91;float;Ar;;0.100000001490116;100000;SFRAFreq;%.7f;SFRA frequency Hz;0.0000000
UniLDM  ;$10;$17;$91;float;Ar;;0.100000001490116;100000;SFRAOLMag;%.7f;SFRA OL Magnitude dB;0.0000000
UniLDM  ;$10;$18;$91;float;Ar;;0.100000001490116;100000;SFRAOLPha;%.7f;SFRA OL Phase deg;0.0000000
UniLDM  ;$10;$19;$91;float;Ar;;0.100000001490116;100000;SFRAPLMag;%.7f;SFRA Plant Magnitude dB;0.0000000
UniLDM  ;$10;$1A;$91;float;Ar;;0.100000001490116;100000;SFRAPLPha;%.7f;SFRA Plant Phase deg;0.0000000
UniLDM  ;$10;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware UniLDM QCW180A-2xTEC r2;200130
SY4000  ;$20;$FF;$0;;;;;;;;;
SY4000  ;$20;$10;$0;u8;AUS;NV;0;1;Command;[OFF,ON,FAULT];Command;OFF
SY4000  ;$20;$14;$A;u16;ArSr;;0;660;PhdBias;%.2fV;Photodiode bias;6.07
SY4000  ;$20;$17;$B;u32;AUS;NV;2;2147483647;Tmin;%u;Trigger Tmin delay;2
SY4000  ;$20;$18;$B;u32;AUS;NV;2;2147483647;Tmax;%u;Trigger Tmax delay;2147483647
SY4000  ;$20;$69;$B;u16;AUS;NV;1;65535;Fdiv;%u;F div;1
SY4000  ;$20;$6A;$B;u16;AUS;NV;1;32767;FdivAcq;%u;F div Acq;1
SY4000  ;$20;$6B;$B;u16;AUS;NV;0;4095;DAC1;%u;DAC1;0
SY4000  ;$20;$6C;$B;u16;AUS;NV;0;4095;DAC2;%u;DAC2;2047
SY4000  ;$20;$7E;$B;u8;ArUrSr;;0;1;PLL1locked;[NOLOCK,LOCKOK];PLL1 lock;LOCKOK
SY4000  ;$20;$1F;$B;u8;ArUrSr;;0;3;CLKvalid;[NOCLOCK-NOLOCK,NOCLOCK-LOCKOK,CLOCKOK-NOLOCK,CLOCKOK-LOCKOK];PLL2 clock and lock;CLOCKOK-LOCKOK
SY4000  ;$20;$6D;$B;u8;AUrSr;NV;0;1;VCO;[2.5GHz,3GHz];VCO2 frequency;3GHz
SY4000  ;$20;$6E;$B;s8;AUrSr;NV;-8;8;LagPLL;%d;LagPLL;0
SY4000  ;$20;$6F;$B;s8;A;;0;18;LD2mux;[Logic Low,PLL1 DLD,PLL2 DLD,PLL1 & PLL2 DLD,Holdover Status,DAC Locked,Reserved,SPI Readback,DAC Rail,DAC Low,DAC High,PLL1_N,PLL1_Ndiv2,PLL2_N,PLL2_N/2,PLL1_R,PLL1_Rdiv2,PLL2_R,PLL2_Rdiv2];LD2mux;PLL2 DLD
SY4000  ;$20;$70;$B;s8;A;;0;1;OSTrig;[-,START];One shot trigger;-
SY4000  ;$20;$71;$B;s8;A;;0;1;OSBurst;[-,START];One shot burst;-
SY4000  ;$20;$72;$B;s8;A;;0;1;OSLSET;[-,START];One shot latch set;-
SY4000  ;$20;$73;$B;s8;A;;0;1;OSLCLR;[-,START];One shot latch reset;-
SY4000  ;$20;$74;$B;u32;AUS;NV;1;65535;BatchC;%u;Burst count;1
SY4000  ;$20;$FF;$40;;;;;;;;LMK delay block;
SY4000  ;$20;$56;$41;u8;AUS;NV;0;23;Adly0;%u;A delay 0;0
SY4000  ;$20;$57;$41;u8;AUS;NV;0;23;Adly1;%u;A delay 1;0
SY4000  ;$20;$58;$41;u8;AUS;NV;0;23;Adly2;%u;A delay 2;0
SY4000  ;$20;$59;$41;u8;AUS;NV;0;23;Adly3;%u;A delay 3;0
SY4000  ;$20;$5A;$41;u8;AUS;NV;0;23;Adly4;%u;A delay 4;0
SY4000  ;$20;$5B;$41;u8;AUS;NV;0;23;Adly5;%u;A delay 5;0
SY4000  ;$20;$5C;$41;u8;AUS;NV;0;23;Adly6;%u;A delay 6;0
SY4000  ;$20;$5D;$41;u8;AUS;NV;4;32;Ddly0;%u;D delay 0;24
SY4000  ;$20;$5E;$41;u8;AUS;NV;4;32;Ddly1;%u;D delay 1;16
SY4000  ;$20;$5F;$41;u8;AUS;NV;4;32;Ddly2;%u;D delay 2;8
SY4000  ;$20;$60;$41;u8;AUS;NV;4;32;Ddly3;%u;D delay 3;28
SY4000  ;$20;$62;$41;u8;AUS;NV;4;32;Ddly5;%u;D delay 5;12
SY4000  ;$20;$63;$41;u8;AUS;NV;4;32;Ddly6;%u;D delay 6;4
SY4000  ;$20;$FF;$50;;;;;;;;Delay counters;
SY4000  ;$20;$A;$5B;u32;AUrS;NV;3;16777218;DelayCnt0;%u;Delay counter 0;10
SY4000  ;$20;$16;$5B;u32;AUrS;NV;3;16777218;DelayCnt1;%u;Delay counter 1;21
SY4000  ;$20;$19;$5B;u32;AUrS;NV;3;16777218;DelayCnt2;%u;Delay counter 2;32
SY4000  ;$20;$1A;$5B;u32;AUrS;NV;3;16777218;DelayCnt3;%u;Delay counter 3;42
SY4000  ;$20;$1B;$5B;u32;AUrS;NV;3;16777218;DelayCnt4;%u;Delay counter 4;50
SY4000  ;$20;$1C;$5B;u32;AUrS;NV;3;16777218;DelayCnt5;%u;Delay counter 5;64
SY4000  ;$20;$1D;$5B;u32;AUrS;NV;3;16777218;DelayCnt6;%u;Delay counter 6;75
SY4000  ;$20;$1E;$5B;u32;AUrS;NV;3;16777218;DelayCnt7;%u;Delay counter 7;85
SY4000  ;$20;$26;$5B;u16;AUrS;NV;3;258;PostCnt0;%u;Post delay counter 0;214
SY4000  ;$20;$27;$5B;u16;AUrS;NV;3;258;PostCnt1;%u;Post delay counter 1;214
SY4000  ;$20;$28;$5B;u16;AUrS;NV;3;258;PostCnt2;%u;Post delay counter 2;214
SY4000  ;$20;$29;$5B;u16;AUrS;NV;3;258;PostCnt3;%u;Post delay counter 3;214
SY4000  ;$20;$2A;$5B;u16;AUrS;NV;3;258;PostCnt4;%u;Post delay counter 4;200
SY4000  ;$20;$2B;$5B;u16;AUrS;NV;3;258;PostCnt5;%u;Post delay counter 5;214
SY4000  ;$20;$2C;$5B;u16;AUrS;NV;3;258;PostCnt6;%u;Post delay counter 6;214
SY4000  ;$20;$2D;$5B;u16;AUrS;NV;3;258;PostCnt7;%u;Post delay counter 7;214
SY4000  ;$20;$FF;$10;;;;;;;;Muxes;
SY4000  ;$20;$2E;$3B;u8;AUS;NV;0;15;MuxSetConf10;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 1, block 0;0
SY4000  ;$20;$2F;$3B;u8;AUS;NV;0;15;MuxSetConf20;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 2, block 0;Fine del0
SY4000  ;$20;$30;$3B;u8;AUS;NV;0;15;MuxResConf10;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 1, block 0;0
SY4000  ;$20;$31;$3B;u8;AUS;NV;0;15;MuxResConf20;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 2, block 0;Post-count
SY4000  ;$20;$32;$3B;u8;AUS;NV;0;15;MuxSetConf11;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 1, block 1;0
SY4000  ;$20;$33;$3B;u8;AUS;NV;0;15;MuxSetConf21;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 2, block 1;Fine del1
SY4000  ;$20;$34;$3B;u8;AUS;NV;0;15;MuxResConf11;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 1, block 1;0
SY4000  ;$20;$35;$3B;u8;AUS;NV;0;15;MuxResConf21;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 2, block 1;Post-count
SY4000  ;$20;$36;$3B;u8;AUS;NV;0;15;MuxSetConf12;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 1, block 2;0
SY4000  ;$20;$37;$3B;u8;AUS;NV;0;15;MuxSetConf22;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 2, block 2;Fine del2
SY4000  ;$20;$38;$3B;u8;AUS;NV;0;15;MuxResConf12;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 1, block 2;0
SY4000  ;$20;$39;$3B;u8;AUS;NV;0;15;MuxResConf22;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 2, block 2;Post-count
SY4000  ;$20;$3A;$3B;u8;AUS;NV;0;15;MuxSetConf13;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 1, block 3;0
SY4000  ;$20;$3B;$3B;u8;AUS;NV;0;15;MuxSetConf23;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 2, block 3;Fine del3
SY4000  ;$20;$3C;$3B;u8;AUS;NV;0;15;MuxResConf13;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 1, block 3;0
SY4000  ;$20;$3D;$3B;u8;AUS;NV;0;15;MuxResConf23;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 2, block 3;Post-count
SY4000  ;$20;$3E;$3B;u8;AUS;NV;0;15;MuxSetConf14;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 1, block 4;0
SY4000  ;$20;$3F;$3B;u8;AUS;NV;0;15;MuxSetConf24;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 2, block 4;Fine del4
SY4000  ;$20;$40;$3B;u8;AUS;NV;0;15;MuxResConf14;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 1, block 4;0
SY4000  ;$20;$41;$3B;u8;AUS;NV;0;15;MuxResConf24;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch RES,GATE,nGATE,Delayed set];Mux res conf 2, block 4;Post-count
SY4000  ;$20;$42;$3B;u8;AUS;NV;0;15;MuxSetConf15;[0,1,Post-count,Fine del0,Fine del1,Fine del2,Fine del3,Fine del4,Fine del5,Coarse del6,Coarse del7,Trigger,Latch SET,GATE,nGATE,Delayed res];Mux set conf 1, block 5;0
